[03Feb2025 00:00:03.791] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: STRANJO[/100.94.65.49:50544] logged in with entity id 1290 at (957.7885971840542, 120.0, -429.7243566817112)
[03Feb2025 00:00:04.446] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: STRANJO joined the game
[03Feb2025 00:00:04.640] [Server thread/INFO] [net.nicguzzo.wands.WandsMod/]: PLAYER_JOIN
[03Feb2025 00:00:04.641] [Server thread/INFO] [net.nicguzzo.wands.WandsMod/]: add_player wand
[03Feb2025 00:00:04.668] [Server thread/INFO] [net.nicguzzo.wands.WandsMod/]: config sent
[03Feb2025 00:00:21.419] [Server thread/INFO] [Jade/]: Syncing config to STRANJO (2e6e150c-8207-3118-accc-8edfd2b8dd5b)
[03Feb2025 00:00:23.134] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 19461ms or 389 ticks behind
[03Feb2025 00:05:34.912] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=883, y=122, z=-433} BlockPos{x=883, y=120, z=-434}
[03Feb2025 00:05:34.962] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=884, y=122, z=-433} BlockPos{x=883, y=120, z=-434}
[03Feb2025 00:05:35.012] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=884, y=122, z=-433} BlockPos{x=883, y=120, z=-434}
[03Feb2025 00:05:53.908] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=884, y=122, z=-438} BlockPos{x=885, y=121, z=-438}
[03Feb2025 00:05:53.958] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=884, y=122, z=-439} BlockPos{x=885, y=121, z=-438}
[03Feb2025 00:05:54.661] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=883, y=122, z=-439} BlockPos{x=882, y=121, z=-438}
[03Feb2025 00:05:54.712] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=883, y=122, z=-439} BlockPos{x=882, y=121, z=-438}
[03Feb2025 00:05:54.762] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=883, y=122, z=-439} BlockPos{x=882, y=121, z=-438}
[03Feb2025 00:05:54.812] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=883, y=122, z=-439} BlockPos{x=882, y=121, z=-438}
[03Feb2025 00:05:54.862] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=883, y=123, z=-440} BlockPos{x=882, y=121, z=-438}
[03Feb2025 00:20:31.297] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=120, z=-413} BlockPos{x=923, y=119, z=-413}
